study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	median	mean	mean_pm	mean_sd	mean_se	min	max	comments	mean_unit	value_unit	median_unit
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	0.0	min			0.0	7.1175450840895	3.2756725425544785e-05	1.1581251338934255e-05				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	5.0	min			0.0	7.50118197987263	3.452231852117095e-05	1.220548276430094e-05				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	10.0	min			0.0	7.00272418218253	3.222829087227618e-05	1.1394421510919482e-05				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	15.0	min			2.5781389322401685e-05	18.4902177094356	5.9315224385105274e-05	3.0086196304295095e-05				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	20.0	min			0.00018091734040781367	4.64889569309054	0.0001595219578775401	7.564410036618405e-06				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	25.0	min			0.0003769914271787845	26.3581511583404	0.00025568461281819636	4.2888435519254754e-05				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	30.0	min			0.0005608244829452193	76.5274557038973	0.00020862596163036978	0.00012452098137280253				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	40.0	min			0.0008854449374565569	129.733435396357	0.00028837916947276846	0.00021109462667784525				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	60.0	min			0.0007309244572037738	198.376072224599	0.00018205192047806613	0.00032278589386097983				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	90.0	min			0.0004776364505065789	85.1106558299751	8.59358921156389e-05	0.00013848706051639503				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	120.0	min			0.00027548225793447084	43.407704257379	7.570912929062061e-05	7.063046698145937e-05				mole/meter^3	ng/ml	ng/ml
McElnay1995		unbuf	8.0	CAP25	concentration	captopril	plasma	HPLC	CAP25_concentration_captopril_plasma_unbuf	180.0	min			0.00013093364854571874	44.8902447261185	7.566250271239109e-05	7.304276976082563e-05				mole/meter^3	ng/ml	ng/ml
