study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	median	mean	mean_pm	mean_sd	mean_se	min	max	comments	mean_unit	value_unit	median_unit
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	0.0	min			0.0	7.56196951617631	3.48020779905484e-05	1.2304392673249923e-05			captopril can not be detected at this time point	mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	5.0	min			0.0	7.0533804624356	3.246142376342407e-05	1.1476846435043651e-05			zero set manually	mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	10.0	min			0.0	7.00272418218253	3.222829087227618e-05	1.1394421510919482e-05				mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	15.0	min			4.621937277969487e-05	28.7153567327825	8.593589211563844e-05	4.6723941988497594e-05				mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	20.0	min			0.00028115515828573483	101.974469234753	0.00018815689378759093	0.00016592686725681112				mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	25.0	min			0.0005386053641995582	167.688497647297	0.00023313910802492716	0.00027285287482658305				mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	30.0	min			0.0007755865022706031	224.968593106243	0.00025977531794820396	0.00036605568202918243				mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	40.0	min			0.000981607592397211	286.167458405565	0.00033540673627510876	0.0004656348813620222				mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	60.0	min			0.0006981988161637158	116.150798117838	0.00016364374739303355	0.00018899375702269552				mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	90.0	min			0.0005594350109139793	144.229236553572	0.00010434406520067147	0.0002346813429652056				mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	120.0	min			0.0002857090207594891	81.197289326159	8.798124468064246e-05	0.00013211946037805877				mole/meter^3	ng/ml	ng/ml
McElnay1995		buf	8.0	CAP25, PHO70	concentration	captopril	plasma	HPLC	CAP25, PHO70_concentration_captopril_plasma_buf	180.0	min			0.00011458637021843291	9.78746876196061	6.954198721012311e-05	1.5925594339770027e-05				mole/meter^3	ng/ml	ng/ml
