ALDDEG	ALDSEC	ANG1ANG2	ANG2DEG	ANGGEN2ANG1	Afeces_cap	Afeces_capall	Afeces_capss	Afeces_captot	Aurine_cap	Aurine_capall	Aurine_capme	Aurine_capss	Aurine_captot	DBP	DBP_change	DBP_change_relative	DBP_ratio	GU__F_cap_abs	KI__f_renal_function	MAP	MAP_change	PODOSE_cap	RENDEG	RENSEC	SBP	SBP_change	SBP_change_relative	SBP_ratio	[Cve_cap]	[Cve_capall]	[Cve_capme]	[Cve_capss]	[Cve_captot]	[ace]	[ald]	[ang1]	[ang2]	[anggen]	[ren]	ace_activity	ace_inhibition	ald_change	ald_ratio	ang1_change	ang1_ratio	ang2_change	ang2_ratio	f_cardiac_function	ren_change	ren_ratio	time
1.0105027952686e-06	1.0105027952686e-06	1.00300143544081e-09	1.00300143544081e-09	1.00300143544081e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	1.0	0.6	1.0	93.33333333333333	0.0	50.0	0.1	0.1	120.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1e-09	2.5e-07	1e-08	8e-09	1e-08	6.125574272588055e-11	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
8.581427846677895e-07	8.328388331945146e-07	3.8395603687491694e-11	8.266563428584159e-10	1.2169650521792552e-09	2.159449746348577e-21	2.159449746510739e-21	1.621617349225854e-31	2.159449746510739e-21	0.0015749075684638259	0.0015807311326517337	5.710454576853565e-06	1.1310961105432347e-07	0.0015750206780748802	76.23662903701482	-3.763370962985178	-0.047042137037314725	0.9529578629626853	0.6	1.0	88.9427338765173	-4.390599456816034	43.29438740296032	0.1213323340503905	0.12133233405947474	114.35494355552224	-5.64505644447776	-0.04704213703731466	0.9529578629626854	0.0029626054130918143	0.0031319886825505946	5.603039659542565e-05	0.0001133528728633546	0.003075958285955169	1e-09	2.123058908609174e-07	1.1723869930511164e-08	6.5934608956575065e-09	1e-08	7.432302238921316e-11	0.0326519373251698	0.9673480626748302	-3.769410913908259e-08	0.8492235634436697	1.7238699305111634e-09	1.1723869930511164	-1.406539104342494e-09	0.8241826119571882	1.0	1.3067279663332612e-11	1.213323340503905	8.64
6.98388892651041e-07	6.778916033452472e-07	3.769305656177809e-11	6.728593472597223e-10	1.495129529700436e-09	1.4841896023482775e-19	1.4841896036253597e-19	1.2770822443876828e-28	1.4841896036253597e-19	0.004638737693646696	0.004674529056210879	3.509736161060077e-05	6.940009535822432e-07	0.004639431694600279	72.29062538376684	-7.709374616233163	-0.09636718270291453	0.9036328172970854	0.6	1.0	84.33906294772798	-8.994270385605347	37.48807961195245	0.14906554236817623	0.14906554237904546	108.43593807565026	-11.564061924349744	-0.09636718270291453	0.9036328172970854	0.0036240805716835633	0.004085757587223536	0.00015297374945932494	0.00030870326608064717	0.003932783837764211	1e-09	1.7278252369044743e-07	1.399519229674838e-08	5.366766774079495e-09	1e-08	9.131120512598848e-11	0.026852265431731026	0.973147734568269	-7.721747630955256e-08	0.6911300947617898	3.99519229674838e-09	1.399519229674838	-2.6332332259205054e-09	0.6708458467599369	1.0	3.0055462400107936e-11	1.4906554236817622	17.28
5.701547454884664e-07	5.538096900133609e-07	4.4028679471978674e-11	5.496985427900591e-10	1.8301156017606822e-09	1.7084548794822442e-18	1.7084548848805952e-18	5.398350923128724e-27	1.7084548848805952e-18	0.008074183232731375	0.008169729177141946	9.369646394661312e-05	1.849480463958349e-06	0.008076032713195333	69.1231757098546	-10.876824290145393	-0.1359603036268174	0.8640396963731826	0.6	1.0	80.64370499483037	-12.689628338502956	32.460468834259764	0.1824639065403095	0.1824639065532099	103.68476356478192	-16.315236435218083	-0.13596030362681735	0.8640396963731827	0.0037248208545566522	0.004490738820949443	0.00025422668332781515	0.0005116912830649762	0.004236512137621628	1e-09	1.410571915679151e-07	1.6789787680513534e-08	4.384428762445164e-09	1e-08	1.1176962115792311e-10	0.026145015362187718	0.9738549846378123	-1.0894280843208489e-07	0.5642287662716604	6.789787680513534e-09	1.6789787680513535	-3.6155712375548366e-09	0.5480535953056455	1.0	5.0513878432042565e-11	1.8246390654030948	25.92
4.684832795602857e-07	4.556139327178365e-07	5.4998707028168615e-11	4.5223173123568965e-10	2.224549517297407e-09	9.548503687949219e-18	9.548503760086328e-18	7.213710934550258e-26	9.548503760086328e-18	0.011507741301995993	0.011692302334273322	0.00018099469835923442	3.5663339180959088e-06	0.011511307635914089	66.61183798331197	-13.388162016688028	-0.16735202520860035	0.8326479747913996	0.6	1.0	77.71381098053064	-15.61952235280269	28.107122259858322	0.22178926556767467	0.22178926558297513	99.91775697496796	-20.082243025032042	-0.16735202520860035	0.8326479747913996	0.0035837765068093873	0.0046324758127536236	0.000348724196012594	0.0006999751099316421	0.0042837516167410295	1e-09	1.1590350906346551e-07	2.0199666490628507e-08	3.6070275894425852e-09	1e-08	1.3585866190975475e-10	0.027146055091874288	0.9728539449081257	-1.3409649093653446e-07	0.4636140362538621	1.0199666490628507e-08	2.0199666490628507	-4.392972410557415e-09	0.4508784486803231	1.0	7.46029191838742e-11	2.2178926556767466	34.56
3.8913050016225854e-07	3.7919966021758523e-07	7.103961760853362e-11	3.763847119451148e-10	2.672828750768105e-09	3.6004752848009403e-17	3.6004753368768195e-17	5.207587947575911e-25	3.6004753368768195e-17	0.014766252901388858	0.01506633776871455	0.0002942964287453932	5.7884385802991205e-06	0.014772041339969157	64.65178334272036	-15.348216657279636	-0.19185270821599545	0.8081472917840046	0.6	1.0	75.42708056650709	-17.906252766826242	24.337612798040716	0.2664830434258971	0.2664830434417511	96.97767501408055	-23.022324985919454	-0.19185270821599545	0.8081472917840046	0.003333175644133622	0.004629618350625061	0.00043192468171375525	0.0008645180247776845	0.004197693668911306	1e-09	9.627150513196364e-08	2.4316165094519153e-08	3.0020671847170165e-09	1e-08	1.6323616748906406e-10	0.029127551388427486	0.9708724486115725	-1.5372849486803635e-07	0.38508602052785457	1.4316165094519153e-08	2.4316165094519153	-4.997932815282984e-09	0.375258398089627	1.0	1.0198042476318352e-10	2.664830434258971	43.2
3.288182039469484e-07	3.21421800124421e-07	9.321988193605189e-11	3.1903575963990315e-10	3.1532887741449004e-09	1.0594620489336284e-16	1.0594620745722316e-16	2.5638603181581335e-24	1.0594620745722316e-16	0.017774396716732897	0.018212901348158592	0.0004300611924618298	8.443438963864408e-06	0.017782840155696762	63.162038472051194	-16.837961527948806	-0.21047451909936007	0.7895254809006399	0.6	1.0	73.68904488405973	-19.644288449273603	21.073640738928702	0.31438527032207675	0.3143852703448985	94.74305770807679	-25.25694229192321	-0.21047451909936007	0.7895254809006399	0.00304252670342951	0.0045474832292912324	0.0005023797188796656	0.0010025768069820563	0.004045103510411567	1e-09	8.135014704722954e-08	2.9206934100332866e-08	2.5446484789899816e-09	1e-08	1.925790323565554e-10	0.03182152752779077	0.9681784724722092	-1.6864985295277046e-07	0.32540058818891815	1.9206934100332866e-08	2.9206934100332864	-5.455351521010019e-09	0.3180810598737477	1.0	1.3132328963067486e-10	3.1438527032207673	51.84
2.85136126898235e-07	2.799844513315149e-07	1.2282086664763748e-10	2.7790601659045527e-10	3.6199715710577775e-09	2.628380952867283e-16	2.628381050130758e-16	9.726347481560477e-24	2.628381050130758e-16	0.020508993313257676	0.021105021634231287	0.000584572289675734	1.1456031297878346e-05	0.020520449344555554	62.083068605091	-17.916931394909	-0.2239616424363625	0.7760383575636375	0.6	1.0	72.4302467059395	-20.903086627393833	18.24740732292028	0.360913897343211	0.3609138973478627	93.1246029076365	-26.8753970923635	-0.2239616424363625	0.7760383575636375	0.0027484389528025705	0.0044232841451155675	0.000560226839093522	0.001114618353219475	0.003863057306022046	1e-09	7.05431316551785e-08	3.488008375804033e-08	2.2165951654361742e-09	1e-08	2.2108048841850595e-10	0.03510694863290298	0.964893051367097	-1.794568683448215e-07	0.282172526620714	2.4880083758040332e-08	3.488008375804033	-5.783404834563826e-09	0.27707439567952175	1.0	1.598247456926254e-10	3.6091389734321098	60.480000000000004
2.563902322680178e-07	2.5328327693327787e-07	1.609930264591487e-10	2.5140305551525266e-10	4.001589707846233e-09	5.756425849500414e-16	5.756426154996798e-16	3.054963843817656e-23	5.756426154996798e-16	0.022973995684355517	0.023743024128607425	0.0007542738296437098	1.475461460819527e-05	0.022988750298963714	61.37303015911169	-18.626969840888307	-0.23283712301110385	0.7671628769888962	0.6	1.0	71.60186851896364	-21.731464814369687	15.800206434831816	0.3989615135583102	0.39896151356838133	92.05954523866754	-27.94045476133246	-0.23283712301110385	0.7671628769888962	0.002469249104992141	0.004278275287807951	0.0006063736062752634	0.001202652576540547	0.003671901681532688	1e-09	6.343135156787645e-08	4.1239341692303555e-08	2.0052059479238e-09	1e-08	2.4438683832055753e-10	0.03892187791588453	0.9610781220841155	-1.8656864843212352e-07	0.2537254062715058	3.123934169230356e-08	4.123934169230355	-5.9947940520762e-09	0.250650743490475	1.0	1.8313109559467698e-10	3.9896151355831018	69.12
2.414083559675472e-07	2.4020486875712376e-07	2.0835747069334454e-10	2.384217335086405e-10	4.2194638242759454e-09	1.1464156380459874e-15	1.1464157212152104e-15	8.316922311983331e-23	1.1464157212152104e-15	0.02518657961723646	0.02614078045764935	0.0009359265190830519	1.8274321329840206e-05	0.0252048539385663	61.002970075643006	-18.997029924356994	-0.23746287405446243	0.7625371259455376	0.6	1.0	71.17013175491684	-22.16320157841649	13.681205168786889	0.4206837273788676	0.42068372739369453	91.5044551134645	-28.495544886535498	-0.23746287405446248	0.7625371259455375	0.0022131974128982504	0.0041245698981877575	0.0006420508459263672	0.0012693216393631396	0.00348251905226139	1e-09	5.972481152399456e-08	4.805296833439193e-08	1.9016661399201794e-09	1e-08	2.5769294173284385e-10	0.04323020570678737	0.9567697942932126	-1.9027518847600543e-07	0.23889924609597823	3.8052968334391925e-08	4.805296833439193	-6.098333860079821e-09	0.2377082674900224	1.0	1.964371990069633e-10	4.206837273788676	77.76
