study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_calculated	0.0	d		0.995327102803739	103.03738317757	0.11082748809000799	0.035046728971961	time calculation: 1st day in table = starting day (0 day for simulations)	dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_calculated	1.0	d		0.41355140186915895	53.6214953271028	0.387896208315046	0.12266355140186899		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_calculated	3.0	d		0.332943925233645	25.2336448598131	0.25490322260703	0.080607476635514		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_calculated	7.0	d		0.389018691588785	46.9626168224299	0.254903222607031	0.080607476635514		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_calculated	8.0	d		0.728971962616823	54.6728971962617	0.5763029380680701	0.182242990654206		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_calculated	9.0	d		0.813084112149533	65.5373831775701	0.49872369640506004	0.157710280373832		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_calculated	10.0	d		1.15303738317757	127.570093457944	0.387896208315049	0.12266355140187		dimensionless	percent
