ALDDEG	ALDSEC	ANG1ANG2	ANG2DEG	ANGGEN2ANG1	Afeces_cap	Afeces_capall	Afeces_capss	Afeces_captot	Aurine_cap	Aurine_capall	Aurine_capme	Aurine_capss	Aurine_captot	DBP	DBP_change	DBP_change_relative	DBP_ratio	GU__F_cap_abs	KI__f_renal_function	MAP	MAP_change	PODOSE_cap	RENDEG	RENSEC	SBP	SBP_change	SBP_change_relative	SBP_ratio	[Cve_cap]	[Cve_capall]	[Cve_capme]	[Cve_capss]	[Cve_captot]	[ace]	[ald]	[ang1]	[ang2]	[anggen]	[ren]	ace_activity	ace_inhibition	ald_change	ald_ratio	ang1_change	ang1_ratio	ang2_change	ang2_ratio	f_cardiac_function	ren_change	ren_ratio	time
1.0105027952686e-06	1.0105027952686e-06	1.00300143544081e-09	1.00300143544081e-09	1.00300143544081e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	1.0	0.6	1.0	93.33333333333333	0.0	25.0	0.1	0.1	120.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1e-09	2.5e-07	1e-08	8e-09	1e-08	1e-09	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
1.0036924154897559e-06	9.900052531161839e-07	1.7240607418453076e-10	9.826560546084717e-10	1.0237680557081096e-09	1.2058858990223967e-26	1.205885899022434e-26	3.7278414022478615e-40	1.205885899022434e-26	1.8269348055364895e-05	1.8279664367374495e-05	1.011565201786704e-08	2.0065999173160264e-10	1.8269548715356627e-05	79.83178010157957	-0.16821989842043195	-0.0021027487302553993	0.9978972512697446	0.6	1.0	93.13707678517616	-0.19625654815716587	24.40714274394771	0.10207044771159005	0.10207044781710978	119.74767015236937	-0.2523298476306337	-0.002102748730255281	0.9978972512697447	0.0004914671948908222	0.0004953567939423965	1.2848712958626837e-06	2.604727755711633e-06	0.0004940719226465338	1e-09	2.483151012024084e-07	1.0166738897561733e-08	7.837724014236159e-09	1e-08	1.0207044771159005e-09	0.16907108435398321	0.8309289156460168	-1.684898797591613e-09	0.9932604048096335	1.667388975617332e-10	1.0166738897561733	-1.6227598576384152e-10	0.9797155017795198	1.0	2.070447711590042e-11	1.0207044771159004	1.44
9.8187057724486e-07	9.595131610450832e-07	1.0320828857686192e-10	9.523903173338135e-10	1.0563020854600287e-09	1.0946437544779356e-24	1.0946437544788639e-24	9.282219195747783e-37	1.0946437544788639e-24	9.390769766847306e-05	9.4017523010453e-05	1.0768986424079737e-07	2.13547773914543e-09	9.39098331462122e-05	79.29276942492001	-0.7072305750799899	-0.008840382188499873	0.9911596178115001	0.6	1.0	92.50823099574	-0.8251023375933215	23.828344676937583	0.10531411502873808	0.1053141151464749	118.93915413738002	-1.0608458626199848	-0.008840382188499873	0.9911596178115001	0.0009135051406068559	0.000928816991812968	5.059624344011904e-06	1.0252226862100128e-05	0.0009237573674689561	1e-09	2.4291634368608316e-07	1.0428911398308601e-08	7.59632266659915e-09	1e-08	1.0531411502873808e-09	0.09866748178516682	0.9013325182148332	-7.0836563139168245e-09	0.9716653747443327	4.289113983086009e-10	1.04289113983086	-4.0367733340085123e-10	0.9495403333248936	1.0	5.314115028738078e-11	1.0531411502873809	2.88
9.538807748855935e-07	9.287391487463577e-07	8.219378008820204e-11	9.218447526363003e-10	1.0913029286840615e-09	1.440619401253621e-23	1.440619401260621e-23	6.99994021756922e-35	1.440619401260621e-23	0.00021432555193232945	0.0002147111332361799	3.7808609663621824e-07	7.495207214247867e-09	0.0002143330471395437	78.60140684859057	-1.398593151409429	-0.017482414392617864	0.9825175856073821	0.6	1.0	91.70164132335567	-1.6316920099776553	23.2632723952801	0.10880372551056659	0.1088037256351915	117.90211027288586	-2.0978897271141363	-0.017482414392617805	0.9825175856073822	0.0012071578709848861	0.0012390147514612711	1.0529604684735676e-05	2.132727579164937e-05	0.0012284851467765355	1e-09	2.3599162203011127e-07	1.0711873661584048e-08	7.352689398544344e-09	1e-08	1.0880372551056659e-09	0.0765018535401959	0.9234981464598041	-1.4008377969888717e-08	0.9439664881204451	7.118736615840477e-10	1.0711873661584048	-6.473106014556564e-10	0.919086174818043	1.0	8.803725510566582e-11	1.0880372551056658	4.32
9.241935746559046e-07	8.985485645332631e-07	7.266377889331617e-11	8.918782850081911e-10	1.1279699206132635e-09	8.750616586768067e-23	8.750616586904691e-23	1.3662407010106652e-33	8.750616586904691e-23	0.00036727295862828757	0.0003681704785632775	8.800781560930904e-07	1.7441778896865223e-08	0.00036729040040718445	77.86811766807548	-2.1318823319245155	-0.026648529149056445	0.9733514708509435	0.6	1.0	90.8461372794214	-2.48719605391193	22.71160040171761	0.11245945227561226	0.1124594524051674	116.80217650211323	-3.1978234978867732	-0.026648529149056445	0.9733514708509435	0.0014196446401918252	0.0014716036519510677	1.71785340958792e-05	3.4780477663363286e-05	0.0014544251178551886	1e-09	2.286469614391928e-07	1.1009268604165239e-08	7.113675043675038e-09	1e-08	1.1245945227561226e-09	0.06580485815906079	0.9341951418409392	-2.1353038560807198e-08	0.9145878457567712	1.0092686041652388e-09	1.1009268604165239	-8.863249563249628e-10	0.8892093804593797	1.0	1.2459452275612253e-10	1.1245945227561225	5.76
8.944889541621898e-07	8.691792400264945e-07	6.762210426522058e-11	8.627269805524861e-10	1.1660837101531777e-09	3.5022431528509106e-22	3.5022431529811417e-22	1.3023110516380617e-32	3.5022431529811417e-22	0.0005447274541307138	0.0005464152067699439	1.6549631168311679e-06	3.2789522398963335e-08	0.0005447602436531127	77.13439819804057	-2.8656018019594285	-0.03582002252449286	0.9641799774755071	0.6	1.0	89.99013123104733	-3.343202102286	22.1730109179289	0.11625942585423067	0.11625942598879808	115.70159729706086	-4.298402702939143	-0.03582002252449286	0.9641799774755071	0.00157895157076259	0.0016535604888407297	2.4673626726014218e-05	4.993529135212551e-05	0.0016288868621147155	1e-09	2.2129799104722595e-07	1.1319449221372886e-08	6.881162479480006e-09	1e-08	1.1625942585423067e-09	0.05956097944777494	0.9404390205522251	-2.8702008952774043e-08	0.8851919641889038	1.3194492213728856e-09	1.1319449221372886	-1.1188375205199946e-09	0.8601453099350007	1.0	1.6259425854230666e-10	1.1625942585423066	7.199999999999999
8.653828252998372e-07	8.407154196200307e-07	6.481019683742865e-11	8.344744582838821e-10	1.2055634158062905e-09	1.0797248643326443e-21	1.0797248644123394e-21	7.969516768599803e-32	1.0797248644123394e-21	0.0007412049533537336	0.0007439916993517316	2.732620355411876e-06	5.41256425861609e-08	0.0007412590789963198	76.4154617804495	-3.5845382195504953	-0.04480672774438119	0.9551932722556188	0.6	1.0	89.1513720771911	-4.18196125614223	21.647193701480067	0.1201955823000848	0.12019558243921664	114.62319267067427	-5.376807329325729	-0.044806727744381075	0.9551932722556189	0.0017016988074507963	0.0018008250464267607	3.279057589218554e-05	6.63356630837788e-05	0.0017680344705345752	1e-09	2.140970884374969e-07	1.1641903014957095e-08	6.655818656268529e-09	1e-08	1.201955823000848e-09	0.055503172664852274	0.9444968273351477	-3.590291156250309e-08	0.8563883537499877	1.6419030149570943e-09	1.1641903014957093	-1.3441813437314717e-09	0.831977332033566	1.0	2.0195582300084788e-10	1.2019558230008478	8.64
8.370999382902023e-07	8.131856296486308e-07	6.329007807187144e-11	8.071490327749318e-10	1.2463768616245363e-09	2.7842546289101482e-21	2.784254629271221e-21	3.610726215633887e-31	2.784254629271221e-21	0.00095276084210295	0.0009569778387888782	4.135114799319799e-06	8.188188660841237e-08	0.0009528427239895584	75.7168598618639	-4.283140138136105	-0.053539251726701306	0.9464607482732987	0.6	1.0	88.33633650550787	-4.9969968278254555	21.133845867116392	0.1242647136468718	0.12426471379053121	113.57528979279584	-6.424710207204157	-0.053539251726701306	0.9464607482732987	0.0017980029060442888	0.0019230321019854985	4.137054253453648e-05	8.36586534066733e-05	0.001881661559450962	1e-09	2.0709985717251137e-07	1.1976528433519943e-08	6.437869412780629e-09	1e-08	1.2426471364687181e-09	0.05268695831894932	0.9473130416810507	-4.290014282748862e-08	0.8283994286900455	1.976528433519943e-09	1.1976528433519942	-1.5621305872193718e-09	0.8047336765975786	1.0	2.4264713646871805e-10	1.242647136468718	10.08
8.097190385432779e-07	7.865938640718875e-07	6.260860460150293e-11	7.807546683364945e-10	1.2885121525809478e-09	6.305074680257769e-21	6.305074681574576e-21	1.3168067805129141e-30	6.305074681574576e-21	0.0011764148048907905	0.0011824100736688987	5.878890585668317e-06	1.1637819243994115e-07	0.0011765311830832304	75.04053749458627	-4.959462505413725	-0.06199328131767157	0.9380067186823284	0.6	1.0	87.547293743684	-5.786039589649334	20.63267171229198	0.12846563395142685	0.12846563409961326	112.56080624187942	-7.439193758120581	-0.061993281317671504	0.9380067186823285	0.00187423277153634	0.0020261924107251297	5.0295431782974906e-05	0.00010166420740581494	0.0019758969789421548	1e-09	2.0032577899204322e-07	1.2323407984967188e-08	6.227346368599044e-09	1e-08	1.2846563395142686e-09	0.050652588408903854	0.9493474115910961	-4.967422100795677e-08	0.8013031159681729	2.323407984967188e-09	1.2323407984967187	-1.7726536314009564e-09	0.7784182960748804	1.0	2.8465633951426854e-10	1.2846563395142685	11.52
7.832620754840041e-07	7.609320429302218e-07	6.252312537800486e-11	7.552833449897102e-10	1.3319661885970776e-09	1.2936087104523222e-20	1.2936087108600002e-20	4.076780470223578e-30	1.2936087108600002e-20	0.0014098161806507766	0.001417950183066026	7.976152230275573e-06	1.5785018497375898e-07	0.0014099740308357504	74.38703684075058	-5.612963159249418	-0.07016203949061772	0.9298379605093823	0.6	1.0	86.78487631420901	-6.548457019124314	20.143382546836946	0.13279803413358932	0.13279803428665235	111.58055526112588	-8.41944473887412	-0.07016203949061767	0.9298379605093824	0.0019345727831222548	0.0021142123018705323	5.94735368896133e-05	0.00012016598185866413	0.002054738764980919	1e-09	1.9378028421876024e-07	1.2682718560011103e-08	6.0241855558882234e-09	1e-08	1.3279803413358932e-09	0.0491503675019872	0.9508496324980128	-5.621971578123975e-08	0.775121136875041	2.6827185600111026e-09	1.2682718560011104	-1.975814444111777e-09	0.7530231944860278	1.0	3.279803413358932e-10	1.3279803413358933	12.959999999999999
7.577275340092186e-07	7.361857482190711e-07	6.289349769521141e-11	7.307207517605366e-10	1.3767391659783407e-09	2.4560680067835643e-20	2.4560680078942024e-20	1.1106381104733256e-29	2.4560680078942024e-20	0.0016510460860641174	0.0016616883253486774	1.0435772033173879e-05	2.0646725138602876e-07	0.0016512525533155034	73.7563204765261	-6.243679523473901	-0.07804599404342376	0.9219540059565763	0.6	1.0	86.04904055594712	-7.284292777386213	19.66569652666381	0.13726193376515722	0.13726193392267338	110.63448071478915	-9.365519285210851	-0.07804599404342376	0.9219540059565763	0.0019819120419639854	0.002189757257230147	6.883107512877286e-05	0.00013901414013738905	0.0021209261821013743	1e-09	1.8746299801372848e-07	1.3054690211420145e-08	5.828272829455257e-09	1e-08	1.3726193376515721e-09	0.04803276890874997	0.95196723109125	-6.253700198627151e-08	0.7498519920549139	3.0546902114201453e-09	1.3054690211420146	-2.171727170544744e-09	0.7285341036819071	1.0	3.7261933765157206e-10	1.372619337651572	14.399999999999999
7.331035083664788e-07	7.123371396048281e-07	6.36339892216991e-11	7.070491807511821e-10	1.422831545154482e-09	4.380532627039291e-20	4.380532629770146e-20	2.730855626622328e-29	4.380532629770146e-20	0.0018984976519204081	0.0019120239133846187	1.3263916438187292e-05	2.623450260231533e-07	0.0018987599969464313	73.14809432367758	-6.851905676322417	-0.08564882095403022	0.9143511790459697	0.6	1.0	85.33944337762385	-7.993889955709477	19.199338491417652	0.14185737875132362	0.14185737891318997	109.72214148551637	-10.277858514483626	-0.08564882095403022	0.9143511790459697	0.0020183526458217613	0.0022547447095463864	7.830708616431575e-05	0.00015808497756030916	0.0021764376233820706	1e-09	1.8137097487484281e-07	1.343958489677903e-08	5.639466950038336e-09	1e-08	1.418573787513236e-09	0.047206493308486586	0.9527935066915134	-6.862902512515717e-08	0.7254838994993713	3.4395848967790296e-09	1.3439584896779029	-2.3605330499616648e-09	0.704933368754792	1.0	4.1857378751323603e-10	1.418573787513236	15.84
7.093731983997595e-07	6.893665514071153e-07	6.46898258021341e-11	6.842491122673522e-10	1.470242138890125e-09	7.420948006530363e-20	7.420948012704186e-20	6.173824060612616e-29	7.420948012704186e-20	0.0021508011782685197	0.0021675912342703114	1.6464501526925445e-05	3.2555447486645407e-07	0.002151126732743386	72.56194340967316	-7.438056590326838	-0.09297570737908548	0.9070242926209146	0.6	1.0	84.65560064461869	-8.677732688714642	18.744039805976062	0.14658425072382544	0.1465842508903269	108.84291511450974	-11.157084885490264	-0.09297570737908553	0.9070242926209144	0.0020455023399578646	0.00231062707196246	8.78502616494332e-05	0.00017727447035516242	0.002222776810313027	1e-09	1.7550005841676128e-07	1.3837684346777398e-08	5.457612227377369e-09	1e-08	1.4658425072382544e-09	0.04660913117529564	0.9533908688247044	-7.449994158323871e-08	0.7020002336670451	3.8376843467773975e-09	1.3837684346777397	-2.5423877726226313e-09	0.6822015284221711	1.0	4.658425072382544e-10	1.4658425072382544	17.28
6.865174265167496e-07	6.672534205788988e-07	6.602492060389443e-11	6.623001359096015e-10	1.5189667400222908e-09	1.2041133070467775e-19	1.2041133083481762e-19	1.3013987870871699e-28	1.2041133083481762e-19	0.0024067753945720342	0.002427211064502409	2.003954108955702e-05	3.9612884081760984e-07	0.0024071715234128517	71.9973940380766	-8.002605961923393	-0.10003257452404242	0.8999674254759575	0.6	1.0	83.99695971108937	-9.336373622243954	18.29953820570803	0.151442130225339	0.15144213039655957	107.99609105711491	-12.00390894288509	-0.10003257452404242	0.8999674254759575	0.0020646448925492875	0.002358555888809475	9.74168951138121e-05	0.00019649410114637545	0.002261138993695663	1e-09	1.698455040726205e-07	1.4249282415371631e-08	5.282545866894212e-09	1e-08	1.51442130225339e-09	0.046196953756341363	0.9538030462436586	-8.015449592737949e-08	0.679382016290482	4.249282415371631e-09	1.4249282415371631	-2.7174541331057885e-09	0.6603182333617764	1.0	5.144213022533899e-10	1.51442130225339	18.72
6.645159020312173e-07	6.459768526025484e-07	6.761506808647648e-11	6.411815122685248e-10	1.568997014288704e-09	1.8834897591837275e-19	1.883489761769271e-19	2.5855434474257344e-28	1.883489761769271e-19	0.002665394127703211	0.002689857621124386	2.3989424236345228e-05	4.740691848296067e-07	0.0026658681968880407	71.45394501845689	-8.546054981543108	-0.10682568726928884	0.8931743127307111	0.6	1.0	83.36293585486636	-9.970397478466964	17.8655776454018	0.15643018632362618	0.15643018649931942	107.18091752768532	-12.819082472314676	-0.10682568726928897	0.893174312730711	0.002076840940328272	0.002399478456463588	0.0001069694912726728	0.0002156680248626429	0.002292508965190915	1e-09	1.6440229189434933e-07	1.467467973553181e-08	5.114102449807414e-09	1e-08	1.5643018632362617e-09	0.04593812903248673	0.9540618709675133	-8.559770810565065e-08	0.6576091675773974	4.6746797355318105e-09	1.467467973553181	-2.8858975501925864e-09	0.6392628062259267	1.0	5.643018632362617e-10	1.5643018632362615	20.16
6.433479142190121e-07	6.25515980317007e-07	6.944397393659618e-11	6.20872529088212e-10	1.6203195200987267e-09	2.854766002523325e-19	2.854766007406114e-19	4.882789145022206e-28	2.854766007406114e-19	0.002925762276321307	0.0029546347696926614	2.8313144413565753e-05	5.593489577886692e-07	0.002926321625279096	70.93108478522943	-9.06891521477057	-0.11336144018463212	0.8866385598153679	0.6	1.0	82.75293224943434	-10.580401083898991	17.441908151776296	0.16154707888195705	0.16154707906207044	106.39662717784415	-13.603372822155848	-0.11336144018463207	0.886638559815368	0.0020829891006111973	0.002434195914174158	0.00011647577208380547	0.00023473104147915522	0.0023177201420903526	1e-09	1.5916529801582708e-07	1.5114179586402385e-08	4.952116773913443e-09	1e-08	1.6154707888195705e-09	0.04580874910094679	0.9541912508990532	-9.083470198417291e-08	0.6366611920633084	5.1141795864023846e-09	1.5114179586402385	-3.047883226086558e-09	0.6190145967391802	1.0	6.154707888195704e-10	1.6154707888195703	21.599999999999998
6.229927414651555e-07	6.058501986865777e-07	7.15008318180961e-11	6.01352734292253e-10	1.6729147819836947e-09	4.2099523833799443e-19	4.2099523922049395e-19	8.82499541942018e-28	4.2099523922049395e-19	0.0031870975786406175	0.0032207579896315034	3.3008493123062186e-05	6.519178678235846e-07	0.0031877494965084413	70.42830150380058	-9.571698496199417	-0.11964623120249271	0.8803537687975073	0.6	1.0	82.166351754434	-11.166981578899325	17.02828567948934	0.1667908661814092	0.16679086636585558	105.64245225570086	-14.35754774429914	-0.11964623120249283	0.8803537687975072	0.002083864241738522	0.0024633992389252496	0.00012590792849233505	0.00025362706869439287	0.0023374913104329148	1e-09	1.5412939587652472e-07	1.5568084385988386e-08	4.796425712216166e-09	1e-08	1.667908661814092e-09	0.045790392135544256	0.9542096078644557	-9.587060412347527e-08	0.6165175835060989	5.568084385988385e-09	1.5568084385988386	-3.2035742877838345e-09	0.5995532140270207	1.0	6.679086618140919e-10	1.667908661814092	23.04
6.034299067381986e-07	5.869593219059843e-07	7.377878216890595e-11	5.826020919225461e-10	1.7267563785602828e-09	6.060977266679362e-19	6.060977282028891e-19	1.5349528474063618e-27	6.060977282028891e-19	0.003448716140903746	0.0034875400727583526	3.807222664625924e-05	7.51705208347731e-07	0.0034494678461120935	69.94508938091617	-10.054910619083827	-0.12568638273854785	0.8743136172614522	0.6	1.0	81.60260427773554	-11.730729055597791	16.624471970561213	0.17215891399012695	0.17215891417948317	104.91763407137427	-15.082365928625734	-0.1256863827385478	0.8743136172614522	0.0020801424615136963	0.002487692429357085	0.00013524203060830573	0.00027230793723508344	0.0023524503987487795	1e-09	1.4928951942626786e-07	1.6036692479359253e-08	4.6468694567042e-09	1e-08	1.7215891399012695e-09	0.04586856215376345	0.9541314378462366	-1.0071048057373213e-07	0.5971580777050715	6.036692479359252e-09	1.6036692479359251	-3.3531305432958e-09	0.580858682088025	1.0	7.215891399012695e-10	1.7215891399012695	24.48
5.846393436238822e-07	5.688236900525263e-07	7.627389372270717e-11	5.646010879997322e-10	1.7818100244179005e-09	8.542274457623091e-19	8.542274483433197e-19	2.5810105711048273e-27	8.542274483433197e-19	0.003710020525017596	0.003754379358994121	4.3500211221101645e-05	8.586227554235925e-07	0.0037108791477730193	69.48095276577877	-10.519047234221233	-0.1314880904277654	0.8685119095722346	0.6	1.0	81.06111156007523	-12.272221773258096	16.230234417131207	0.17764780402680197	0.1776478042212497	104.22142914866816	-15.778570851331835	-0.1314880904277653	0.8685119095722347	0.0020724182175819736	0.0025076081666823772	0.00014445754487536706	0.0002907324042250363	0.00236315062180701	1e-09	1.446407042022284e-07	1.6520295025928615e-08	4.503292362700121e-09	1e-08	1.7764780402680198e-09	0.04603165228070383	0.9539683477192962	-1.053592957977716e-07	0.5785628168089136	6.5202950259286144e-09	1.6520295025928615	-3.4967076372998792e-09	0.5629115453375151	1.0	7.764780402680197e-10	1.7764780402680196	25.919999999999998
5.666015069146723e-07	5.514242417921663e-07	7.898446608548872e-11	5.473308026895561e-10	1.838032636687885e-09	1.1813504662114984e-18	1.1813504704231133e-18	4.211615024171059e-27	1.1813504704231133e-18	0.003970489673012028	0.004020749790726983	4.9287550406017134e-05	9.725673089379063e-07	0.003971462240320966	69.03540888166626	-10.964591118333743	-0.1370573889791718	0.8629426110208283	0.6	1.0	80.54131036194397	-12.792022971389358	15.84534592746733	0.18325324089691725	0.1832532410951679	103.5531133224994	-16.4468866775006	-0.13705738897917166	0.8629426110208284	0.0020612167123992753	0.0025236189617815386	0.000153536927419838	0.0003088653219624253	0.0023700820343617005	1e-09	1.4017811468895168e-07	1.7019172863782597e-08	4.365543524463725e-09	1e-08	1.8325324089691723e-09	0.04627023260845731	0.9537297673915427	-1.0982188531104831e-07	0.5607124587558068	7.019172863782597e-09	1.7019172863782597	-3.6344564755362752e-09	0.5456929405579656	1.0	8.325324089691723e-10	1.8325324089691721	27.36
